https://www.4icu.org/in/indian-universities.htm
List of Indian Universities
Rank	University	Location
840	Abhilashi University	Chailchowk
221	Acharya N.G. Ranga Agricultural University	Hyderabad
154	Acharya Nagarjuna University	Guntur
607	Adamas University	Barasat
749	Adesh University	Bathinda
335	Adikavi Nannaya University	Rajahmundry
287	Ahmedabad University	Ahmedabad
560	AISECT University	Mendua Village
717	Ajeenkya D.Y. Patil University	Lohegaon
820	Akal University	Bathinda
706	AKS University	Satna
149	Alagappa University	Karaikudi
721	Al-Falah University	Faridabad
478	Aliah University	Kolkata
39	Aligarh Muslim University	Aligarh ...
184	All India Institute of Medical Sciences Bhopal	Bhopal
113	All India Institute of Medical Sciences Bhubaneswar	Bhubaneswar
61	All India Institute of Medical Sciences Delhi	New Delhi
168	All India Institute of Medical Sciences Jodhpur	Jodhpur
259	All India Institute of Medical Sciences Patna	Patna
132	All India Institute of Medical Sciences Raipur	Raipur
159	All India Institute of Medical Sciences Rishikesh	Rishikesh
425	Allahabad State University	Allahabad
273	Alliance University	Bangalore
294	Ambedkar University Delhi	New Delhi
36	Amity University	Noida ...
20	Amrita Vishwa Vidyapeetham	Coimbatore ...
246	Anand Agricultural University	Anand
790	Anant National University	Ahmedabad
82	Andhra University	Visakhapatnam
11	Anna University	Chennai
77	Annamalai University	Chidambaram
441	Ansal University	Gurgaon
549	AP Goyal Shimla University	Shimla
436	Apeejay Stya University	Gurgaon
779	Apex Professional University	Pasighat
90	APJ Abdul Kalam Technological University	Thiruvananthapuram
861	Arka Jain University	Gamharia
731	Arni University	Kathgarh
625	Arunachal University of Studies	Namsai
773	Arunodaya University	Itanagar
439	Aryabhatta Knowledge University	Patna
268	Ashoka University	Sonipat
290	Assam Agricultural University	Jorhat
358	Assam Don Bosco University	Guwahati
585	Assam Down Town University	Guwahati
799	Assam Rajiv Gandhi University of Cooperative Management	Sivasagar
675	Assam Science and Technology University	Guwahati
234	Assam University	Silchar
815	Assam Women's University	Jorhat
728	Atal Bihari Vajpayee Hindi Vishwavidyalaya	Bhopal
606	AURO University	Surat
691	Avantika University	Ujjain
451	Avinashilingam University	Coimbatore
438	Awadhesh Pratap Singh University	Rewa
594	Ayush and Health Sciences University of Chhattisgarh	Raipur
200	Azim Premji University	Bangalore
338	B.S. Abdur Rahman University	Chennai
161	Baba Farid University of Health Sciences	Faridkot
544	Baba Ghulam Shah Badhshah University	Rajouri
780	Baba Mastnath University	Rohtak
385	Babasaheb Bhimrao Ambedkar Bihar University	Muzaffarpur
209	Babasaheb Bhimrao Ambedkar University	Lucknow
566	Babu Banarasi Das University	Lucknow
598	Baddi University of Emerging Sciences and Technologies	Baddi
736	BAHRA University	Waknaghat ...
55	Banaras Hindu University	Varanasi
279	Banasthali Vidyapith	Banasthali ...
674	Banda University of Agriculture and Technology	Banda
45	Bangalore University	Bangalore
722	Bankura University	Bankura
859	Bareilly International University	Bareilly
179	Barkatullah University	Bhopal
653	Bastar Vishwavidyalaya	Bastar
872	Bengaluru North University	Kolar
493	Bennett University	Greater Noida
325	Berhampur University	Berhampur
545	Bhagat Phool Singh Mahila Vishwavidyalaya	Khanpur Kalan
486	Bhagwant University	Ajmer
565	Bhakta Kavi Narsinh Mehta University	Junagadh
201	Bharath Institute of Higher Education and Research	Chennai
112	Bharathiar University	Coimbatore
106	Bharathidasan University	Tiruchirappalli
151	Bharati Vidyapeeth University	Pune ...
844	Bhartiya Skill Development University	Jaipur
711	Bhatkhande Music Institute	Lucknow
835	Bhupal Nobles University	Udaipur
761	Bhupendra Narayan Mandal University	Madhepura
278	Bidhan Chandra Krishi Vishwavidyalaya	Mohanpur
587	Bihar Agricultural University	Bhagalpur
205	Biju Patnaik University of Technology	Rourkela ...
182	Bilaspur Vishwavidyalaya	Bilaspur
67	Birla Institute of Technology	Ranchi ...
16	Birla Institute of Technology and Science	Pilani ...
445	Birsa Agricultural University	Ranchi
570	BLDE University	Bijapur
433	BML Munjal University	Gurgaon
541	Bodoland University	Kokrajhar
524	Brainware University	Barasat
136	Bundelkhand University	Jhansi
699	C.U. Shah University	Wadhwan
673	Calorx Teachers University	Ahmedabad
692	Career Point University	Hamirpur
615	Central Agricultural University	Imphal
391	Central Institute of Fisheries Education	Mumbai
309	Central University of Gujarat	Gandhinagar
293	Central University of Haryana	Mahendragarh
269	Central University of Himachal Pradesh	Kangra
522	Central University of Jammu	Jammu
264	Central University of Jharkhand	Ranchi
317	Central University of Karnataka	Gulbarga
219	Central University of Kashmir	Srinagar
369	Central University of Kerala	Kasaragod
446	Central University of Orissa	Koraput
480	Central University of Punjab	Bathinda
258	Central University of Rajasthan	Ajmer
292	Central University of South Bihar	Patna
239	Central University of Tamil Nadu	Thiruvarur
609	Central University of Tibetan Studies	Varanasi
271	Centurion University of Technology and Management	Bhubaneswar
143	CEPT University	Ahmedabad
539	Chanakya National Law University	Patna
79	Chandigarh University	Mohali ...
496	Chandra Shekhar Azad University of Agriculture and Technology	Kanpur
508	Charotar University of Science and Technology	Anand
693	Chaudhary Bansi Lal University	Bhiwani
332	Chaudhary Charan Singh Haryana Agricultural University	Hisar
91	Chaudhary Charan Singh University	Meerut
427	Chaudhary Devi Lal University	Sirsa
423	Chaudhary Ranbir Singh University	Jind
119	Chennai Mathematical Institute	Chennai
48	Chhatrapati Shahu Ji Maharaj University	Kalyanpur
670	Chhattisgarh Kamdhenu Vishwavidyalaya	Raipur
146	Chhattisgarh Swami Vivekananda Technical University	Bhilai
676	Children's University	Gandhinagar
665	Chitkara University	Kalujhanda
100	Chitkara University	Punjab
33	Christ University	Bangalore
814	Cluster University of Jammu	Jammu
794	CMJ University	Jorabat
697	CMR University	Bangalore
65	Cochin University of Science and Technology	Kochi
595	Cooch Behar Panchanan Barma University	Cooch Behar
640	Cotton University	Guwahati
85	CSK Himachal Pradesh Krishi Vishvavidyalaya	Palampur
662	Dakshina Bharat Hindi Prachar Sabha	Chennai
579	Damodaram Sanjivayya National Law University	Visakhapatnam ...
563	Datta Meghe Institute of Medical Sciences	Nagpur
532	DAV University	Jalandhar
547	Davangere University	Davangere
253	Dayalbagh Educational Institute	Agra
719	Dayananda Sagar University	Bangalore
602	Deccan College Post-Graduate and Research Institute	Pune
242	Deen Dayal Upadhyay Gorakhpur University	Gorakhpur
331	Deenbandhu Chhotu Ram University of Science and Technology	Murthal
642	Delhi Pharmaceutical Sciences and Research University	New Delhi
96	Delhi Technological University	New Delhi
627	Desh Bhagat University	Mandi Gobindgarh
485	Dev Sanskriti Vishwavidyalaya	Shantikunj
62	Devi Ahilya Vishwavidyalaya	Indore
340	Dharmsinh Desai University	Nadiad
80	Dhirubhai Ambani Institute of Information and Communication Technology	Gandhinagar
771	Diamond Harbour Women's University	Sarisha
152	Dibrugarh University	Dibrugarh
303	DIT University	Dehradun
497	Doon University	Dehradun
604	Dr K.N. Modi University	Newai
800	Dr. A.P.J Abdul Kalam University	Indore
14	Dr. A.P.J. Abdul Kalam Technical University	Lucknow
107	Dr. B R Ambedkar National Institute of Technology Jalandhar	Jalandhar
489	Dr. B.R. Ambedkar University	Etcherla
751	Dr. B.R. Ambedkar University of Social Sciences	Indore
223	Dr. Babasaheb Ambedkar Marathwada University	Aurangabad
322	Dr. Babasaheb Ambedkar Technological University	Lonere
396	Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth	Dapoli
207	Dr. Bhimrao Ambedkar University	Agra
381	Dr. C.V. Raman University	Bilaspur
387	Dr. D.Y. Patil Vidyapeeth	Pune
226	Dr. Hari Singh Gour University	Sagar
432	Dr. M.G.R. Educational and Research Institute	Chennai
267	Dr. N.T.R. University of Health Sciences	Vijayawada
415	Dr. Panjabrao Deshmukh Krishi Vidyapeeth	Akola
444	Dr. Rajendra Prasad Central Agriculture University	Samastipur
173	Dr. Ram Manohar Lohia Avadh University	Faizabad
468	Dr. Ram Manohar Lohiya National Law University	Lucknow
527	Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University	Jodhpur
280	Dr. Shakuntala Misra Rehabilitation University	Lucknow
828	Dr. Vishwanath Karad MIT World Peace University	Pune
386	Dr. Y.S. Parmar University of Horticulture and Forestry	Nauni
367	Dr.Y.S.R. Horticultural University	Tadepalligudem
472	Dravidian University	Kuppam
552	EIILM University	Jorethang
823	Era University	Lucknow
655	Eternal University	Baru Sahib
542	Fakir Mohan University	Balasore ...
300	Flame University	Pune
829	Forest Research Institute	Dehradun
855	G H Raisoni University	Saikheda
767	G.L.S. University	Ahmedabad
193	Galgotias University	Noida
72	Gandhi Institute of Technology and Management	Visakhapatnam
285	Gandhigram Rural University	Gandhigram
776	Gangadhar Meher University	Sambalpur
